grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
3.1,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0
3.06,0,0,0,0,3,0,0,0,0,0
3.72,0,0,0,0,0,0,0,0,0,0
3.84,0,0,0,0,2,0,0,0,0,0
3.6,875,6,0,0,4,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0
3.3,0,0,0,0,3,0,0,0,0,0
3.42,0,0,0,0,1,0,0,0,0,0
3.5,0,0,0,0,3,0,0,0,0,0
3.16,660,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,1,1,0
3.8,0,0,0,0,2,0,1,0,0,1
3.3,0,0,0,0,3,0,0,0,0,0
2.6,630,0,0,0,3,1,0,0,0,1
3.3,0,0,0,0,3,0,0,0,0,0
3.5,0,0,0,0,3,0,0,0,0,0
0,0,0,0,1,2,0,0,1,0,0
3.5,0,0,0,0,1,0,0,0,0,0
3.93,0,0,0,0,3,1,0,0,0,1
2.03,0,0,0,0,3,0,0,0,3,1
3.04,0,0,0,0,2,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0
2.8,0,0,0,0,1,0,0,0,0,0
3.39,0,0,0,0,2,0,2,0,1,1
3,0,0,0,0,1,0,0,0,0,0
3.82,0,0,0,0,0,0,0,0,0,0
3.21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
2.94,0,0,0,1,5,2,0,0,0,1
4.03,0,0,0,0,1,0,0,0,0,0
3.64,0,0,0,0,0,0,1,0,0,0
3.5,885,0,0,0,1,3,3,0,0,1
2.9,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,2,2,4,0,1,1
3.5,0,0,0,0,4,0,0,0,0,0
3.6,0,0,0,0,2,0,0,0,0,0
4.15,0,0,0,0,4,0,0,0,0,0
2.94,0,0,0,1,5,2,0,0,0,1
3.81,0,0,0,0,3,0,0,0,0,0
3.5,0,0,0,0,2,0,0,0,0,0
3.05,0,0,0,2,3,0,0,0,0,1
3.6,0,0,0,0,3,0,0,0,0,0
3.7,0,0,0,0,1,0,0,0,0,0
3.8,0,0,0,0,2,0,0,0,0,0
3.14,0,0,0,0,2,0,0,0,0,0
3.44,0,0,0,0,3,0,0,2,1,1
3.29,0,0,0,0,5,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0
2.51,0,0,0,0,1,0,0,0,0,0
0,720,0,0,0,0,1,0,0,0,0
3.55,0,0,0,0,5,0,0,0,0,0
3.4,785,0,0,1,2,1,0,0,1,1
3.85,0,0,0,0,4,0,0,0,0,0
3.4,615,0,0,0,4,0,0,0,0,1
3.34,815,6,0,0,3,1,0,0,0,1
3.04,555,0,0,0,3,0,0,0,0,1
4.3,0,0,0,0,3,0,0,0,0,1
3.5,0,0,3,0,4,0,0,0,0,1
3.75,0,0,2,0,0,0,0,0,0,0
3.6,0,0,0,0,1,0,0,0,0,0
4.1,730,0,0,0,3,0,2,0,1,1
3.6,0,0,2,0,1,0,0,1,0,1
3.78,760,0,0,0,0,1,0,1,3,1
2.89,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,0,2,0
4.05,730,0,2,0,3,0,2,0,1,1
2.7,0,0,0,0,0,0,0,1,2,1
2.6,0,0,0,0,0,0,0,0,0,0
3.9,880,0,0,0,2,0,0,0,0,1
3.4,885,0,0,0,1,0,0,1,0,1
4.08,0,0,0,0,0,0,0,0,0,0
4.1,730,0,0,0,3,1,2,0,1,1
3.01,840,0,3,0,1,0,0,0,0,1
4.05,730,0,2,0,3,1,2,0,1,1
4.08,0,0,1,0,0,0,0,0,0,1
3.6,0,0,0,0,1,0,0,0,0,0
3.4,885,0,0,0,1,0,0,1,0,1
1.69,0,0,0,0,0,1,0,1,0,0
3.48,0,0,0,0,0,0,0,0,3,1
3.72,809,0,0,0,0,0,0,0,0,0
4.09,800,7,0,0,1,1,2,1,0,1
3.55,0,5,0,0,3,0,1,1,5,1
3.8,0,0,0,0,2,0,0,0,0,0
3.19,0,5,0,0,0,0,1,0,0,1
4.09,0,0,0,0,2,0,0,0,0,0
3.6,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
3.7,535,0,0,0,3,0,0,1,0,1
3.4,0,0,0,0,1,0,3,0,0,1
3.98,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0
2.5,720,0,0,0,0,1,0,1,0,1
3,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,1,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
